name,is_male,is_female,is_surname
Aliyyah,False,True,False
Alíz,False,True,False
Aliz,False,True,False
Aliza,False,True,False
Alizée,False,True,False
Alja,False,True,False
Aljaž,True,False,False
Aljoša,True,True,False
Alkaios,True,False,False
Alke,True,False,False
Alkeides,True,False,False
Alkestis,False,True,False
Alket,True,False,False
Alketa,False,True,False
Alketas,True,False,False
Alkibiades,True,False,False
Alkinoe,False,True,False
Alkinoos,True,False,False
Alkippe,False,True,False
Alkiviadis,True,False,False
Alkmene,False,True,False
Alkmini,False,True,False
Alkyone,False,True,False
Alla,False,True,False
Allah,True,False,False
Allan,True,False,False
Allana,False,True,False
Allannah,False,True,False
Allard,True,False,False
Alle,True,False,False
Allegra,False,True,False
Allegria,False,True,False
Allen,True,False,False
Alli,False,True,False
Allie,False,True,False
Allison,True,True,False
Allissa,False,True,False
Allochka,False,True,False
Allon,True,False,False
Ally,True,True,False
Allycia,False,True,False
Allyn,True,True,False
Allyson,False,True,False
Alma,True,True,False
Almantas,True,False,False
Almas,True,True,False
Almast,False,True,False
Almazbek,True,False,False
Almir,True,False,False
Almira,False,True,False
Almiro,True,False,False
Almog,True,True,False
Álmos,True,False,False
Almudena,False,True,False
Alodia,False,True,False
Álǫf,False,True,False
Alois,True,False,False
Aloisia,False,True,False
Aloisie,False,True,False
Aloísio,True,False,False
Aloisio,True,False,False
Alojz,True,False,False
Alojzia,False,True,False
Alojzij,True,False,False
Alojzija,False,True,False
Alojzije,True,False,False
Alojzy,True,False,False
Alon,True,False,False
Alona,False,True,False
Alondra,False,True,False
Alonso,True,False,False
Alonzo,True,False,False
Alora,False,True,False
Aloys,True,False,False
Aloysia,False,True,False
Aloysius,True,False,False
Alp,True,False,False
Alparslan,True,False,False
Alpaslan,True,False,False
Alperen,True,False,False
